target wav1 wav2
0.9074410200119019 /mnt/lxc/librispeech/test-clean/test-clean-audio/1089/134691/1089-134691-0004.flac /mnt/lxc/librispeech/test-clean/test-clean-audio/2300/131720/2300-131720-0037.flac
0.907728910446167 /mnt/lxc/librispeech/test-clean/test-clean-audio/1089/134691/1089-134691-0004.flac /mnt/lxc/librispeech/test-clean/test-clean-audio/2300/131720/2300-131720-0008.flac
0.8929554224014282 /mnt/lxc/librispeech/test-clean/test-clean-audio/1089/134691/1089-134691-0004.flac /mnt/lxc/librispeech/test-clean/test-clean-audio/1089/134691/1089-134691-0024.flac
0.9289450645446777 /mnt/lxc/librispeech/test-clean/test-clean-audio/1089/134691/1089-134691-0004.flac /mnt/lxc/librispeech/test-clean/test-clean-audio/1089/134686/1089-134686-0000.flac
0.885777473449707 /mnt/lxc/librispeech/test-clean/test-clean-audio/1089/134691/1089-134691-0005.flac /mnt/lxc/librispeech/test-clean/test-clean-audio/1580/141084/1580-141084-0028.flac
0.8993965983390808 /mnt/lxc/librispeech/test-clean/test-clean-audio/1089/134691/1089-134691-0005.flac /mnt/lxc/librispeech/test-clean/test-clean-audio/1995/1836/1995-1836-0013.flac
0.9181147813796997 /mnt/lxc/librispeech/test-clean/test-clean-audio/1089/134691/1089-134691-0005.flac /mnt/lxc/librispeech/test-clean/test-clean-audio/1089/134686/1089-134686-0023.flac
0.9061768054962158 /mnt/lxc/librispeech/test-clean/test-clean-audio/1089/134691/1089-134691-0005.flac /mnt/lxc/librispeech/test-clean/test-clean-audio/1089/134691/1089-134691-0020.flac
0.8885173797607422 /mnt/lxc/librispeech/test-clean/test-clean-audio/1089/134691/1089-134691-0006.flac /mnt/lxc/librispeech/test-clean/test-clean-audio/1320/122612/1320-122612-0009.flac
0.8686324954032898 /mnt/lxc/librispeech/test-clean/test-clean-audio/1089/134691/1089-134691-0006.flac /mnt/lxc/librispeech/test-clean/test-clean-audio/2094/142345/2094-142345-0050.flac
