target wav1 wav2
0.15161454677581787 /mnt/lxc/librispeech/test-clean/test-clean-audio/1089/134691/1089-134691-0004.flac /mnt/lxc/librispeech/test-clean/test-clean-audio/2300/131720/2300-131720-0037.flac
0.14401713013648987 /mnt/lxc/librispeech/test-clean/test-clean-audio/1089/134691/1089-134691-0004.flac /mnt/lxc/librispeech/test-clean/test-clean-audio/2300/131720/2300-131720-0008.flac
0.11721503734588623 /mnt/lxc/librispeech/test-clean/test-clean-audio/1089/134691/1089-134691-0004.flac /mnt/lxc/librispeech/test-clean/test-clean-audio/1089/134691/1089-134691-0024.flac
0.2506869435310364 /mnt/lxc/librispeech/test-clean/test-clean-audio/1089/134691/1089-134691-0004.flac /mnt/lxc/librispeech/test-clean/test-clean-audio/1089/134686/1089-134686-0000.flac
-0.021712351590394974 /mnt/lxc/librispeech/test-clean/test-clean-audio/1089/134691/1089-134691-0005.flac /mnt/lxc/librispeech/test-clean/test-clean-audio/1580/141084/1580-141084-0028.flac
0.04967997223138809 /mnt/lxc/librispeech/test-clean/test-clean-audio/1089/134691/1089-134691-0005.flac /mnt/lxc/librispeech/test-clean/test-clean-audio/1995/1836/1995-1836-0013.flac
0.22114871442317963 /mnt/lxc/librispeech/test-clean/test-clean-audio/1089/134691/1089-134691-0005.flac /mnt/lxc/librispeech/test-clean/test-clean-audio/1089/134686/1089-134686-0023.flac
0.21206432580947876 /mnt/lxc/librispeech/test-clean/test-clean-audio/1089/134691/1089-134691-0005.flac /mnt/lxc/librispeech/test-clean/test-clean-audio/1089/134691/1089-134691-0020.flac
0.166659414768219 /mnt/lxc/librispeech/test-clean/test-clean-audio/1089/134691/1089-134691-0006.flac /mnt/lxc/librispeech/test-clean/test-clean-audio/1320/122612/1320-122612-0009.flac
0.06508095562458038 /mnt/lxc/librispeech/test-clean/test-clean-audio/1089/134691/1089-134691-0006.flac /mnt/lxc/librispeech/test-clean/test-clean-audio/2094/142345/2094-142345-0050.flac
0.11324923485517502 /mnt/lxc/librispeech/test-clean/test-clean-audio/1089/134691/1089-134691-0006.flac /mnt/lxc/librispeech/test-clean/test-clean-audio/1089/134686/1089-134686-0034.flac
