2	34	1	*IY	230.	370.	2670.	3100.
2	34	1	IY	234.	390.	2760.	3060.
2	34	2	IH	234.	468.	2330.	2930.
2	34	2	IH	205.	410.	2380.	2950.
2	34	3	EH	190.	550.	2200.	2880.
2	34	3	EH	191.	570.	2100.	3040.
2	34	4	AE	200.	800.	1980.	2810.
2	34	4	AE	192.	860.	1920.	2850.
2	34	5	AH	227.	635.	1200.	3250.
2	34	5	AH	200.	700.	1200.	3100.
2	34	6	*AA	210.	880.	1240.	2870.
2	34	6	AA	188.	830.	1200.	2880.
2	34	7	AO	207.	570.	830.	3300.
2	34	7	*AO	200.	700.	1000.	3130.
2	34	8	UH	240.	410.	940.	3040.
2	34	8	UH	225.	450.	970.	3190.
2	34	9	UW	238.	480.	955.	2960.
2	34	9	*UW	208.	395.	810.	2900.
2	34	10	ER	200.	500.	1850.	2100.
2	34	10	ER	200.	560.	1750.	2100.
2	35	1	IY	225.	270.	2760.	3550.
2	35	1	IY	240.	290.	2700.	3350.
2	35	2	IH	245.	460.	2500.	3220.
2	35	2	IH	220.	410.	2400.	3240.
2	35	3	EH	220.	620.	2300.	3200.
2	35	3	EH	210.	630.	2300.	3170.
2	35	4	AE	220.	820.	2180.	2850.
2	35	4	AE	195.	740.	2120.	3070.
2	35	5	AH	240.	800.	1300.	2900.
2	35	5	AH	225.	760.	1400.	2830.
2	35	6	AA	214.	850.	1120.	2620.
2	35	6	AA	190.	880.	1220.	2850.
2	35	7	AO	228.	460.	900.	2830.
2	35	7	*AO	222.	440.	880.	2850.
2	35	8	UH	250.	500.	1040.	2750.
2	35	8	UH	245.	490.	1000.	2720.
2	35	9	UW	250.	400.	940.	2720.
2	35	9	UW	245.	410.	860.	2700.
2	35	10	ER	225.	440.	1560.	1750.
2	35	10	ER	210.	420.	1600.	1750.
2	36	1	IY	210.	290.	2700.	3020.
2	36	1	IY	215.	280.	2630.	3240.
2	36	2	*IH	211.	420.	2300.	2950.
2	36	2	IH	211.	420.	2220.	2980.
2	36	3	*EH	207.	640.	2120.	2900.
2	36	3	*EH	221.	700.	2000.	2900.
2	36	4	AE	212.	1000.	1830.	2820.
